frame,person_id,x1,y1,x2,y2,tag_conf
128,4,353,1,431,84,0.164
378,0,430,0,572,165,0.338
381,0,477,1,566,172,0.296
385,0,487,35,580,226,0.343
436,5,507,445,608,572,0.403
461,0,404,0,487,165,0.275
462,0,407,0,499,162,0.726
462,0,407,0,499,162,0.177
471,0,479,50,569,253,0.151
557,0,498,59,603,239,0.229
847,2,626,47,732,161,0.372
849,3,622,36,730,164,0.262
858,0,507,52,615,230,0.323
859,1,508,80,608,251,0.262
860,0,506,84,607,251,0.410
861,0,498,100,605,253,0.775
862,0,496,123,601,308,0.828
863,0,495,142,600,316,0.468
864,0,493,172,601,315,0.445
929,0,399,1,490,156,0.972
929,0,399,1,490,156,0.187
930,0,413,0,501,158,0.686
931,0,424,0,505,158,0.555
932,2,431,0,519,159,0.163
937,0,469,32,557,207,0.458
938,0,473,50,565,252,0.735
939,0,483,71,576,264,0.792
939,0,483,71,576,264,0.153
940,0,491,90,588,265,0.788
940,0,491,90,588,265,0.226
941,0,495,117,597,287,0.365
1013,0,493,0,566,149,0.729
1014,1,493,0,570,154,0.441
1014,1,493,0,570,154,0.154
1015,1,492,0,573,155,0.324
1015,1,492,0,573,155,0.274
1016,1,496,0,585,155,0.590
1017,1,496,0,583,155,0.494
1017,1,496,0,583,155,0.167
1018,1,495,0,586,157,0.202
1019,0,499,9,588,190,0.349
1020,1,499,17,591,201,0.510
1021,1,496,25,585,205,0.580
1022,1,494,30,582,205,0.204
1023,1,491,47,583,225,0.576
1024,1,492,55,599,254,0.787
1025,0,495,80,593,266,0.850
1025,0,495,80,593,266,0.165
1026,0,498,95,601,267,0.840
1027,0,502,117,608,266,0.160
1106,1,624,52,721,162,0.391
1107,1,607,55,719,162,0.328
1108,1,582,50,712,174,0.532
1109,2,577,48,703,178,0.795
1110,1,576,31,697,178,0.774
1111,1,576,31,697,178,0.384
1113,0,537,41,662,206,0.677
1113,0,537,41,662,206,0.155
1114,0,536,49,651,208,0.388
1115,0,536,55,648,208,0.542
1116,0,509,59,637,214,0.915
1117,0,500,60,625,249,0.666
1118,0,504,83,616,257,0.944
1119,0,504,91,608,257,0.267
1120,0,501,114,605,292,0.821
1121,0,499,134,608,321,0.526
1162,4,467,508,572,691,0.838
1166,5,485,443,589,611,0.940
1169,7,490,385,601,530,0.269
1169,7,490,385,601,530,0.195
1197,2,495,0,562,161,0.173
1198,2,495,0,568,161,0.696
1199,2,494,0,575,160,0.631
1201,1,494,2,594,160,0.251
1202,1,495,15,588,198,0.323
1206,2,488,62,585,249,0.280
1208,3,541,16,624,208,0.241
